ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
219,新宿区,四谷三栄町１５番６,744000,住宅,中規模一般住宅、アパート等が混在する住宅地域
220,新宿区,北新宿１丁目３６２番２６,618000,共同住宅,一般住宅、アパート等が混在する住宅地域
221,新宿区,上落合１丁目５１７番８,550000,住宅,中規模一般住宅、アパート等が混在する住宅地域
222,新宿区,高田馬場１丁目１８２番３２外,682000,住宅,中規模一般住宅、アパート等が混在する住宅地域
223,新宿区,赤城下町６４番２,615000,住宅,一般住宅にアパート、作業場が混在する住宅地域
224,新宿区,喜久井町３４番５８,670000,住宅,一般住宅、アパート等が混在する住宅地域
225,新宿区,市谷仲之町１３番,1100000,共同住宅,一般住宅、マンション等が混在する住宅地域
226,新宿区,南元町４番４９,1180000,共同住宅,中高層のマンションが多く建ち並ぶ住宅地域
227,新宿区,中町３２番１,980000,住宅,中規模一般住宅、共同住宅、寮等混在の住宅地域
228,新宿区,高田馬場４丁目６９６番１２外,677000,住宅,一般住宅、共同住宅、事務所等の建つ地域
229,新宿区,西早稲田２丁目３５番５,659000,住宅,一般住宅等の中にマンションも見られる住宅地域
230,新宿区,富久町５９番２０８,668000,住宅兼共同住宅,中小規模の一般住宅等が多く建ち並ぶ住宅地域
231,新宿区,若葉１丁目１９番１８,850000,住宅,中規模一般住宅が多い閑静な住宅地域
232,新宿区,愛住町７番１２,825000,共同住宅,一般住宅、アパート等が混在する住宅地域
233,新宿区,余丁町５２番８,705000,共同住宅,アパート、マンション等が多い既成住宅地域
234,新宿区,中井２丁目２１５２番１０,550000,共同住宅,中規模一般住宅が多い閑静な住宅地域
235,新宿区,歌舞伎町１丁目５２番８外,8500000,店舗兼事務所,高層の店舗、事務所ビルが建ち並ぶ商業地域
236,新宿区,余丁町２４番４,1130000,事務所、車庫兼共同住宅,中高層の店舗兼共同住宅等が建つ路線商業地域
237,新宿区,新宿２丁目７８番１外,5390000,店舗兼事務所,中高層の店舗ビルが多い繁華な商業地域
238,新宿区,西新宿７丁目７３７番１４外,6200000,事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
239,新宿区,西新宿１丁目７番３,18800000,店舗兼事務所,高層の事務所ビルが建ち並ぶ駅前の商業地域
240,新宿区,高田馬場２丁目１４０番１３外,2000000,店舗、事務所兼住宅,中高層の店舗兼事務所等が建ち並ぶ商業地域
241,新宿区,四谷三栄町９番９,1330000,事務所,中低層の事務所ビルが多い商業地域
242,新宿区,四谷３丁目１番８,3830000,事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
243,新宿区,西新宿２丁目６番,12200000,店舗兼事務所,高層店舗兼事務所ビルが建ち並ぶ中心的商業地域
